Year,Quarter,Month,Day,Sum of Close
2019,Qtr 4,December,10,187.1999969482422
2019,Qtr 4,December,11,187.14999389648438
2019,Qtr 4,December,12,190.14999389648438
2019,Qtr 4,December,13,196.25
2019,Qtr 4,December,16,192.60000610351562
2019,Qtr 4,December,17,196.1999969482422
2019,Qtr 4,December,18,197.75
2019,Qtr 4,December,19,196.89999389648438
2019,Qtr 4,December,20,200.8000030517578
2019,Qtr 4,December,23,197.25
2019,Qtr 4,December,24,198.9499969482422
2019,Qtr 4,December,26,197.3000030517578
2019,Qtr 4,December,27,203.5
2019,Qtr 4,December,30,205.8000030517578
2019,Qtr 4,December,31,211.35000610351562
2020,Qtr 1,January,1,211.9499969482422
2020,Qtr 1,January,2,211.10000610351562
2020,Qtr 1,January,3,211.85000610351562
2020,Qtr 1,January,6,205.6999969482422
2020,Qtr 1,January,7,205.6999969482422
2020,Qtr 1,January,8,200.1999969482422
2020,Qtr 1,January,9,198
2020,Qtr 1,January,10,205.3000030517578
2020,Qtr 1,January,13,211.5500030517578
2020,Qtr 1,January,14,212.9499969482422
2020,Qtr 1,January,15,212.4499969482422
2020,Qtr 1,January,16,210.25
2020,Qtr 1,January,17,207.89999389648438
2020,Qtr 1,January,20,201.14999389648438
2020,Qtr 1,January,21,202.14999389648438
2020,Qtr 1,January,22,191.89999389648438
2020,Qtr 1,January,23,190.75
2020,Qtr 1,January,24,193.9499969482422
2020,Qtr 1,January,27,193.35000610351562
2020,Qtr 1,January,28,189.14999389648438
2020,Qtr 1,January,29,191.0500030517578
2020,Qtr 1,January,30,187.9499969482422
2020,Qtr 1,January,31,181.6999969482422
2020,Qtr 1,February,3,178.64999389648438
2020,Qtr 1,February,4,182.5
2020,Qtr 1,February,5,179.25
2020,Qtr 1,February,6,179.9499969482422
2020,Qtr 1,February,7,185.0500030517578
2020,Qtr 1,February,10,178.85000610351562
2020,Qtr 1,February,11,179.35000610351562
2020,Qtr 1,February,12,180.3000030517578
2020,Qtr 1,February,13,177.8000030517578
2020,Qtr 1,February,14,174.75
2020,Qtr 1,February,17,167.85000610351562
2020,Qtr 1,February,18,171.85000610351562
2020,Qtr 1,February,19,177.75
2020,Qtr 1,February,20,179.35000610351562
2020,Qtr 1,February,24,174.85000610351562
2020,Qtr 1,February,25,175.10000610351562
2020,Qtr 1,February,26,173.8000030517578
2020,Qtr 1,February,27,174.10000610351562
2020,Qtr 1,February,28,168.39999389648438
2020,Qtr 1,March,2,169.35000610351562
